album,year,mbid,file
Taylor Swift,2006,ba1d0c2a-bb07-38bc-835c-a880f76f1309,data/taylor_swift.jpg
Fearless,2008,63eba062-847c-3b73-8b0f-6baf27bba6fa,data/fearless.jpg
Speak Now,2010,ba1259eb-d41e-41c5-a70c-0e6fa73e6708,data/speak_now.jpg
Red,2012,a73cecde-0923-40ad-aad1-e8c24ba6c3d2,data/red.jpg
1989,2014,4d9ec1c2-58ec-48a4-aa0a-916718adead0,data/1989.jpg
reputation,2017,f060c8fd-bec9-426e-800e-8efc040a71e6,data/reputation.jpg
Lover,2019,30e9785b-7b50-4d29-b3d1-96fb55e3397f,data/lover.jpg
folklore,2020,f1d08326-c23b-4b43-be3b-20b33ab10bf6,data/folklore.jpg
evermore,2020,e86d6219-f5a2-4edd-bf2b-3f9eab190ae0,data/evermore.jpg
Fearless (Taylor’s Version),2021,d2e4838d-90e1-471c-bda0-fd816dabb2d4,data/fearless_tv.jpg
Red (Taylor’s Version),2021,67727253-f1c0-4243-9270-f9f1401c3b8c,data/red_tv.jpg
Midnights,2022,0dcc84fb-c592-46e9-ba92-a52bb44dd553,data/midnights.jpg
Speak Now (Taylor’s Version),2023,0441b1b2-de57-4a9a-b007-1f6e159921d5,data/speak_now_tv.jpg
1989 (Taylor’s Version),2023,1c4770b3-b7a3-4d44-a7a9-8e2dbb74b85a,data/1989_tv.jpg
THE TORTURED POETS DEPARTMENT,2024,71c3eed6-466c-4aef-ad12-65a36d19467a,data/tortured_poets.jpg
